id,domain,requirement,classification,priority,preliminary_static_disposition,inventory_signal,required_next_verification,source_requirement_ids,final_audit_status,auditor_notes
OPS-002,Operations,"Build runtime images from trusted maintained bases using separated build/runtime stages where practical. Exclude source-control secrets, service-account files, caches, tests, and unnecessary build tools; scan and rebuild for security updates.",MUST,P0,STATIC GAP INDICATED,"Review 7 Part 2 lines 12-21: no backend/frontend Dockerfile, Compose, Procfile, .dockerignore, or runtime image definition was found.",CONTAINER IMAGE; CI,CONTAINER-001–004,NOT AUDITED,
OPS-003,Operations,"Run containers with non-root identity, least capabilities, no privileged mode or Docker socket, controlled writable paths, and CPU/memory/process limits where the platform supports them.",MUST,P0,STATIC GAP INDICATED,"No container definition exists, so non-root execution, capability restrictions, read-only filesystem, resource limits, seccomp, and writable-path controls are not represented in repository configuration.",RUNTIME CONFIG; SECURITY TEST,CONTAINER-005–010,NOT AUDITED,
OPS-004,Operations,"Use health-gated rolling deployment with old/new frontend, API, worker, webhook, job, and schema compatibility. Retain immutable prior artifacts and maintain tested rollback/forward-fix plans.",MUST,P0,STATIC GAP INDICATED,"Review 7 Part 2 lines 4-10 and 22-34: no health-gated deploy, rolling/canary strategy, release migration step, rollback configuration, or deployment concurrency control was found.",DEPLOY CONFIG; RUNTIME; EXERCISE,DEPLOY-005–010; DB-017–018,NOT AUDITED,
OPS-005,Operations,"Protect domain registrar, DNS, CDN, hosting, database, Firebase, Stripe, Cloudflare, repository, monitoring, and backup control planes with named accounts, MFA, least privilege, recovery ownership, and offboarding.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 231: DNS, TLS, CDN, WAF, security monitoring NOT REPOSITORY-VERIFIABLE | Platform and Operational Foundation, Part 2 line 126: Monitoring, alerting, backups, and deployed provider health cannot be inferred from provider dashboards because dashboards were not inspected. prompt restrictions; monitoring/backup searches NOT REPOSITORY-VERIFIABLE",PROVIDER; ACCESS REVIEW,DEPLOY-011; SECRET-007–010; EXT-001–012,NOT AUDITED,
OPS-006,Operations,"Store production secrets in a managed/platform secret store or equivalently controlled runtime injection. Never use source control, frontend bundles, Docker ARG/ENV build layers, logs, tickets, or shared files as secret stores.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,Phase 1A general repository inventory line 158: Actual production env values NOT REPOSITORY-VERIFIABLE Secret/runtime environment not inspected | Phase 1A general repository inventory line 232: Secret rotation and production secret-manager configuration NOT REPOSITORY-VERIFIABLE,CONFIG; IMAGE/BUNDLE SCAN; PROVIDER,SECRET-001–003; FESEC-001–002; CONTAINER-003,NOT AUDITED,
OPS-007,Operations,"Maintain a secret inventory with owner, scope, dependent systems, storage, rotation/revocation procedure, emergency response, and safe overlap where supported. Prefer short-lived workload identity and OIDC over long-lived keys.",MUST,P0,PROCESS / EXTERNAL EVIDENCE REQUIRED,Phase 1A general repository inventory line 232: Secret rotation and production secret-manager configuration NOT REPOSITORY-VERIFIABLE,PROCESS; PROVIDER; EXERCISE,SECRET-004–010; FBAUTH-026; TST-015,NOT AUDITED,
OPS-008,Operations,"Centralize structured frontend, API, worker, database, provider, and edge logs with release/environment/request/job/event context, restricted access, redaction, loss detection, and policy-driven retention.",MUST,P0,STATIC GAP INDICATED,"Phase 1A lines 171-177 and Review 7 Part 1 lines 215-231: only Alembic and scattered module logging exist; no centralized structured application log pipeline, access-log context, redaction filter, or aggregation provider was found.",CONFIG; PROVIDER; RUNTIME,OBS-001–004; API-M15; ADM-006,NOT AUDITED,
OPS-009,Operations,"Measure API traffic/errors/latency, database pool/query/lock/storage health, worker backlog, payment/webhook/refund/reconciliation outcomes, upload/storage divergence, authentication failures, deployment health, and backup success.",MUST,P0,STATIC GAP INDICATED,"Phase 1A line 177 and Review 7 monitoring inventory: no application metrics, worker metrics, payment/reconciliation metrics, storage metrics, tracing, or monitoring integration was found.",METRICS; DASHBOARD; RUNTIME,OBS-005–010,NOT AUDITED,
OPS-010,Operations,"Keep metric labels and telemetry attributes bounded and privacy-safe. Full distributed tracing is conditional, but request/job/payment correlation must be possible without raw credentials or high-cardinality personal data.",MUST DECIDE,P1,STATIC GAP INDICATED,"Review 7 Part 1 lines 224-227: no request IDs, structured logging, centralized redaction, or bounded telemetry architecture was found.",CONFIG; TELEMETRY REVIEW,OBS-011–013; API-030–033,NOT AUDITED,
OPS-011,Operations,"Create dashboards and symptom-based alerts tied to user, financial, and data outcomes. Derive thresholds from normal behavior, capacity, provider quotas, and recovery needs; test alert delivery and control maintenance suppression.",MUST,P0,STATIC GAP INDICATED,"Review 7 Part 2 monitoring inventory: no dashboards, uptime checks, alert routing, alert thresholds, or runbook-linked alert configuration was found in the repository.",DASHBOARD; ALERT TEST; PROCESS,OBS-014–018,NOT AUDITED,
OPS-012,Operations,"Define service indicators and internal objectives for availability, latency, correctness, payment reliability, worker delay, and data freshness. Formal public SLA, tracing, and complex synthetic journeys are context-dependent.",MUST DECIDE,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Platform and Operational Foundation, Part 2 line 58: OpenTelemetry/tracing None found None None None None targeted search NOT FOUND IN SUBSYSTEM | Platform and Operational Foundation, Part 2 line 138: Any earlier implication of global security headers/request IDs/tracing No global middleware/config for security headers, request correlation, tracing, or request logging was found. middleware/logging/tracing searches NOT FOUND IN SUBSYSTEM",PROCESS; METRICS,OBS-014–018,NOT AUDITED,
OPS-013,Operations,"Subscribe to provider status and security notifications and correlate them with internal signals. Define degraded behavior for Firebase, Stripe, R2, PostgreSQL, hosting, DNS, and CDN outages.",MUST,P1,EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 231: DNS, TLS, CDN, WAF, security monitoring NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 226: Production hosting/provider settings NOT REPOSITORY-VERIFIABLE",PROVIDER; RUNBOOK; EXERCISE,IR-004–008; EXT-001–012,NOT AUDITED,
OPS-014,Operations,"Maintain scaled incident response with severity, roles, containment, evidence preservation, recovery, reconciliation, communication, post-incident review, owners, and tracked actions.",MUST,P0,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 233: On-call, incident response, SLOs, runbooks, status page NOT REPOSITORY-VERIFIABLE",PROCESS; EXERCISE,"IR-001–003, 009–012",NOT AUDITED,
OPS-015,Operations,"Maintain runbooks for API/DB outage, connection exhaustion, failed deployment/migration, worker backlog/dead letters, Stripe webhook/payment mismatch, R2 upload/credential failure, Firebase outage, secret compromise, certificate expiry, backup failure, and restore.",MUST,P0,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 228: Stripe webhook dashboard endpoint and enabled events NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 233: On-call, incident response, SLOs, runbooks, status page NOT REPOSITORY-VERIFIABLE",PROCESS; EXERCISE,IR-004–012,NOT AUDITED,
OPS-016,Operations,"Model capacity and cost across API, database connections/storage, worker throughput, provider quotas, R2 requests/storage, logs/metrics, CI, and backups. Load-test critical peaks and alert before hard limits or budget surprises.",MUST DECIDE,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 239: Are backups, alerting, logs, and webhook endpoints configured outside the repo? NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 227: Production database backups, HA, restore tests, retention NOT REPOSITORY-VERIFIABLE",LOAD TEST; PROVIDER; PROCESS,DEPLOY-012; OBS-005–010,NOT AUDITED,
OPS-017,Operations,"Enable protected automated PostgreSQL backups with encryption, access restriction, monitored completion, retention decision, and separately protected backup credentials.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 227: Production database backups, HA, restore tests, retention NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 230: R2 bucket permissions, lifecycle, retention, public access NOT REPOSITORY-VERIFIABLE",PROVIDER; CONFIG,RECOVERY-001–004,NOT AUDITED,
OPS-018,Operations,"Select RPO and RTO by business impact. Enable PITR when required by the selected RPO, and verify actual backup/WAL window, version, roles, extensions, configuration, and restore dependencies.",MUST DECIDE,P0,NEEDS OWNER DECISION,"Platform and Operational Foundation, Part 1 line 27: Backup/recovery Static search only No platform backup/restore implementation found in Part 1 scan; detailed Part 2 NOT FOUND IN SUBSYSTEM | Platform and Operational Foundation, Part 2 line 89: Database snapshots No operational snapshot config found None Business “snapshot” terms exist, but not backup config None None Backup/snapshot search NOT FOUND IN SUBSYSTEM",PROCESS; PROVIDER; RESTORE TEST,RECOVERY-001–004,NOT AUDITED,
OPS-019,Operations,"Treat backup success as unproven until an isolated restore validates decryption, database integrity, application startup, identity mapping, Stripe/R2 references, jobs, and deletion tombstones. Repeat after material backup, version, extension, or key changes.",MUST,P0,STATIC GAP INDICATED,"Phase 1A lines 224-233 and Review 7 Part 2 backup section: no repository-level backup/PITR configuration, restore procedure, or restore-test evidence was found; provider state was not inspected.",RESTORE TEST; PROCESS,RECOVERY-005–006,NOT AUDITED,
OPS-020,Operations,"Classify R2 originals and derivatives by loss tolerance and implement recovery protection for irreplaceable objects. Preserve recoverable configuration, DNS, provider settings, monitoring, infrastructure, and secret recreation procedures.",MUST DECIDE,P1,NEEDS OWNER DECISION,Phase 1A general repository inventory line 226: Production hosting/provider settings NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 229: Firebase project settings and auth-provider configuration NOT REPOSITORY-VERIFIABLE,PROVIDER; BACKUP; EXERCISE,RECOVERY-007–012,NOT AUDITED,
OPS-021,Operations,"Run tabletop and technical recovery exercises for restore, deployment rollback, secret compromise, webhook outage, worker backlog, provider outage, user-deletion failure, and domain/control-plane recovery.",MUST DECIDE,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,Phase 1A general repository inventory line 232: Secret rotation and production secret-manager configuration NOT REPOSITORY-VERIFIABLE,EXERCISE; PROCESS,RECOVERY-013–014; IR-001–012,NOT AUDITED,
OPS-022,Operations,"Approve data-purpose and retention schedules for accounts, profiles, games, bookings, messages, notices, payments, images, moderation, audit, logs, metrics, backups, exports, and test data. Do not retain indefinitely by default.",MUST DECIDE,P1,NEEDS OWNER DECISION,"Database Foundation and Migrations, Part 1 line 18: Models All 58 current backend/models/*.py source files were listed and statically scanned; representative files were line-inspected, including users, games, bookings, participants, payments, refunds, credits, Need a Sub, platform notices, notifications, venue/images, admin/audit/review/support mo... | Platform and Operational Foundation, Part 2 line 93: Audit retention None found as operational retention setting None Admin audit/business tables may exist, but no retention policy/config located None None retention search NOT FOUND IN SUBSYSTEM",PROCESS; CONFIG,DATA-001–004; ADM-008,NOT AUDITED,
OPS-023,Operations,"Implement account deletion, data access, correction, and export as authenticated, durable, retryable workflows across Firebase, PostgreSQL, Stripe references, R2, jobs, logs, and backups. Prevent cross-user exports and reapply deletion/anonymization after restore.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Venues/Images/Storage, Part 1 line 228: User deletion and avatars account deletion clears URL field User.profile_photo_url no shared storage delete found outside subsystem details N/A no shared storage worker backend/models/user_model.py:129; account deletion touchpoint CONFIRMED | Venues/Images/Storage, Part 1 line 256: Object deletion status none no object deletion model/helper found none R2 service inventory NOT FOUND IN SUBSYSTEM",CODE; JOB; RUNTIME; RESTORE TEST,DATA-005–010; ACCOUNT-009–016,NOT AUDITED,
OPS-024,Operations,"Do not copy production data into development or test without approved minimization/anonymization. Use synthetic data, separate provider modes, restricted dumps, cleanup, retention, and access controls.",MUST,P0,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 227: Production database backups, HA, restore tests, retention NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 226: Production hosting/provider settings NOT REPOSITORY-VERIFIABLE",PROCESS; ACCESS REVIEW; TEST CONFIG,DATA-011–012; TEST-017–019,NOT AUDITED,
OPS-025,Operations,"Complete provider-dashboard verification for hosting, Firebase/Google Cloud, Stripe, Cloudflare/R2, PostgreSQL, DNS, repository, monitoring, and backups. Record safe configuration evidence without secret values.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Platform and Operational Foundation, Part 2 line 83: Actual deployed secret values Not in repository inspection Not inspected or displayed External provider/dashboard state NOT REPOSITORY-VERIFIABLE | Platform and Operational Foundation, Part 2 line 12: Deployment secrets Provider dashboard/config Not in repo Not in repo Not in repo Not in repo Not in repo No provider dashboard access; no provider config files NOT REPOSITORY-VERIFIABLE",PROVIDER; CONFIG,EXT-001–012; source reports dashboard matrices,NOT AUDITED,
